"attributes","importance"
"birth_order",3.82264279644717e-05
"gender",0
"age_of_child_in_years",0.000532492508134252
"media_use",4.07085024931031e-05
"mother_use_of_tobacco_products",3.4958430875115e-05
"age_of_mother_at_birth",0
"urban_and_rural_residence",0.000236550865004626
"LATNUM",0.00471321224427124
"LONGNUM",0.00458633387677576
"mother_education",0.000796788110509761
"mother_employment",0.000238592481818678
"household_wealth",0.000333306526648425
"IU_BC",0.00131499638440236
"PU_BC",0.00108142239412357
"IU_CO",0.000339625990595893
"PU_CO",0.000369262131211245
"IU_NO",0.000604796372752014
"PU_NO",0.000721642138646894
"IU_O3",0.00124285481136499
"PU_O3",0.0011232624821238
"IU_OC",0.000720353951321639
"PU_OC",0.000695824289016045
"IN_PM",0.000856600981110844
"PU_PM",0.000863662077603911
"IU_SO",0.00026553694433129
"PU_SO",0.000308734832258573
"IU_SU",0.00109040831352991
"PU_SU",0.00111002181363751
"IU_Precip",0.000403034552475479
"PU_Precip",0.000292713015629387
"IU_Temp",0.00157375114470804
"PU_Temp",0.00162313300918737
"Diff_IU_Precip",0.000314204374172622
"Diff_PU_Precip",0.000380658288515967
"Diff_IU_Temp",0.00032440930587363
"Diff_PU_Temp",0.000374534184008013
"IU_EVI",0.000687271363676745
"PU_EVI",0.000630745948936084
"StateAO",3.34528774603715e-05
"StateBF",0.000514882138395178
"StateBJ",0.00013316063765495
"StateBU",0.00113117837057308
"StateCD",0
"StateCM",0.000170345346090062
"StateGA",0.000162034510119369
"StateGH",4.68212004900992e-05
"StateGN",0.000102300456316873
"StateKE",0.000436561774825817
"StateKM",0
"StateLB",0.000103424837610389
"StateLS",0
"StateMD",7.08466864891011e-05
"StateML",0.00114332869034067
"StateMW",7.81010023508388e-05
"StateMZ",0.000153181742703679
"StateNG",0.000580498926482709
"StateNI",0
"StateNM",0
"StateRW",0
"StateSL",0
"StateSN",4.19392418959386e-05
"StateSZ",8.07714098187695e-05
"StateTD",0.000215911531480872
"StateTG",0
"StateTZ",0
"StateUG",0.00213922830380914
"StateZM",3.95008618848669e-05
"StateZW",0
